,file,condition,train
21,622b07d81ea4-dk8Nrf.jpg,bad,False
43,429fc89c901c-UqGB1Mm.jpg,bad,True
75,b2cb8ce3e130-GZawpg.jpg,average,True
119,95d32bcf4163-CFSB4AD.jpg,good,True
121,2a8946e7937e-0LXBvB7.jpg,average,False
145,2398c8fe1ba4-gE5_S_.jpg,good,True
153,14685de3ef2f-ATC0F9.jpg,good,False
154,c9eb0c41f060-QV2BBkS.jpg,good,True
155,c2482d06c55c-mzCB2V9.jpg,good,True
163,cd4d2081bfbb-GZ_0Qw.jpg,good,True
169,de269f1bb33c-ugfBrmy.jpg,bad,True
193,db7be43491d2-ExhBeoC.jpg,bad,True
194,002f7d13bc89-l3RCEhx.jpg,bad,True
209,61f81f327f7b-uQyVqi.jpg,average,True
210,6b5395c5daaa-I6nVqj.jpg,average,True
232,249ee0a629d6-u8fORV.jpg,good,True
233,a459190c4c9d-9cJUpc.jpg,average,True
235,0e053030b73d-AQBUZA.jpg,average,True
236,89791fe6b290-sbJUjn.jpg,average,True
238,e94f19e82550-loFUiq.jpg,average,True
239,506aabb88e60-dQBUb4.jpg,average,True
249,485589502519-pNuwg.jpg,good,False
263,1d2bbffab5c2-lk1BCpP.jpg,bad,True
272,4137f8442894-d8hCDm.jpg,good,True
296,120a23b39258-p5wCgi.jpg,bad,True
297,1383ae9227cb-CGzChF.jpg,bad,True
323,981d1298ea3d-utDq7.jpg,good,True
331,02d442e93db1-trdBIZP.jpg,good,True
387,c44c22d605c9-8_oBikN.jpg,average,True
395,4cf658824e1d-QWzbRD.jpg,average,True
445,92d9bbda8e1e-nFgBFYi.jpg,good,False
450,23eb5d705d44-3DXCT0.jpg,good,True
462,3194a81a9c4d-CDuBL_o.jpg,good,True
480,0ee81ac61c3f-0Ovmin.jpg,good,False
481,3d1a4f9c63e7-OQRBMgN.jpg,good,False
486,3f3c18281e5b-1Xkdix.jpg,good,False
498,039da69f8dc0-hhwBkeM.jpg,bad,False
517,798e41b3b883-2CGZV.jpg,good,True
525,0428f634aee5-l6XMbB.jpg,average,True
529,59dc07c24707-IFRMdK.jpg,good,True
530,4d2e408b76c5-lRhOxN.jpg,good,True
531,67d05866dcaa-qCIMjq.jpg,good,True
587,c9b57720ea5f-JZ5BQ7Y.jpg,good,True
593,f037c20131f8-rO8MMH.jpg,good,True
601,a85598f3f3cb-9voBNcI.jpg,good,True
637,d298870913dc-zPbKMs.jpg,good,False
719,0b8ef176b3e1-komFWD.jpg,bad,True
731,455ab6aebdbb-tAaK8V.jpg,average,True
748,f91a7851a22a-WwdBYDh.jpg,average,True
749,d4c43e46cc67-uSe3Tw.jpg,bad,False
812,6df85d39c639-flKFfb.jpg,average,True
829,957e3560328b-IerMe7.jpg,good,True
831,f577b75eac5d-bc9Huf.jpg,good,False
832,2a22611329ed-GqkHqx.jpg,good,False
869,0b774144140c-M2JyKg.jpg,bad,False
906,69f12761d6d5-yftJ4R.jpg,average,True
907,e77d7c6fbd9b-cqkJ4S.jpg,good,False
933,ac026580ecc9-vvlUoF.jpg,average,True
934,0ae363975ba7-wFjUg6.jpg,bad,True
947,eac61fc130ff-ZAoBC6x.jpg,average,True
1010,15ffd64f151c-aDBCvG.jpg,good,True
1046,db0ad70b146b-uWhGef.jpg,bad,True
1154,2c72346b0ba6-KCo26t.jpg,good,True
1156,898bebb2dbbc-UwvBzmR.jpg,good,True
1159,fa0a9f622318-neY279.jpg,average,True
1169,a534278d2ff8-Q0JBznk.jpg,average,True
1176,645a13447f8b-VcFBzzJ.jpg,average,True
1226,fa5f2dcf6ea2-OF6dMI.jpg,good,True
1292,070ec9fe36ab-RzdEI2.jpg,good,True
1320,42aa39948676-dP2EI5.jpg,good,True
1321,45fd66c52aec-IDWEI7.jpg,good,True
