,file,condition,train
34,4d86cec7c40b-uqmB2OO.jpg,bad,True
35,6d8d35a9ff8f-m2_B2OP.jpg,bad,True
53,97064180278e-Dkm8g5.jpg,good,True
69,a8a4191e167d-fgDFO0.jpg,good,True
70,dfbf74b31a77-qy1FPv.jpg,good,True
95,1d5dc5a307db-tzDBgDf.jpg,good,True
116,a4923b74b99b-jfw8c7.jpg,good,True
150,401d04ec7615-44IB2V5.jpg,good,True
170,335ad3952d8c-7HZBrmz.jpg,average,True
180,eca75b567795-UnQi0I.jpg,bad,True
188,23364b5033db-7xlBga2.jpg,bad,True
207,30333d6fdeb7-LmnBga5.jpg,bad,False
218,44d4a1903004-NvnOFq.jpg,average,True
219,487f559cece9-Pl5UkR.jpg,good,True
252,1ddea3f4b287-1BfIlI.jpg,average,True
269,7666b622e853-rDzDme.jpg,good,False
271,086cf5a59505-mu9Cg3.jpg,bad,False
287,0040bd34251e-bWUDrm.jpg,bad,True
308,3677b55feec0-hu2CJq.jpg,bad,True
309,9f6b47511fab-FWhCNv.jpg,bad,False
351,19b05664d031-DRfrC.jpg,good,True
390,11d9119c16ed-wRyBikP.jpg,average,True
392,ba87d4340d74-Ti8bQ9.jpg,bad,True
410,090e64f2a062-WLcBH0Z.jpg,bad,True
420,d20f10e0c38d-p3Ih4.jpg,good,False
425,a0369a1996a5-pOlh7.jpg,average,True
442,3bc9181c290e-CgrCFOj.jpg,good,True
474,349672113e42-aDwBv9.jpg,good,False
497,1d326ffa1627-vi5BkeJ.jpg,bad,True
512,78a7260b3be5-dBFbO.jpg,good,True
536,e24b2ff9568d-xHVKQQ.jpg,bad,True
542,c410c0c91185-mc4FvB.jpg,bad,True
571,7202ee5d20e7-PoYj_2.jpg,good,True
616,8daeadc0b7f3-jg4LpS.jpg,good,True
635,c4c6c77ebb8d-wTjFZm.jpg,good,True
658,f2e221d272cd-tlUB8GA.jpg,good,True
709,dbb0d6718edf-tE9Buuo.jpg,good,True
710,29be36c9c624-X0QFXh.jpg,average,False
711,fb757ea9fc75-CeJFb1.jpg,average,True
800,af79a387dd31-KlOGtQ.jpg,average,True
802,286439a5d36a-eVuyJz.jpg,average,True
818,341bf8303838-rE1HtW.jpg,good,True
819,7f27f7255bb2-mXKHue.jpg,good,True
821,cbd74194cb49-jmdHsJ.jpg,good,False
850,3c7d9486b27f-vGaBLtW.jpg,average,True
925,81674348c4ba-NfwUg1.jpg,average,False
938,71989ceda4fa-yH2D8u.jpg,average,False
971,9e9ab851e78a-XqRB0FZ.jpg,good,True
985,3826e46e01fb-_gRDGD.jpg,good,True
1009,56f4ab84aa97-ubSCsg.jpg,good,True
